City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,dunedin,100,NZ,1603573340,56,-45.87,170.5,64.65,11.1
2,sinnamary,41,GF,1603573340,74,5.38,-52.95,83.17,12.57
3,puerto ayora,40,EC,1603573340,73,-0.74,-90.35,77.0,14.99
4,hermanus,6,ZA,1603573340,91,-34.42,19.23,62.01,4.0
5,busselton,71,AU,1603573341,50,-33.65,115.33,57.0,10.0
6,rikitea,84,PF,1603573341,83,-23.12,-134.97,74.64,22.82
7,saint-philippe,0,RE,1603573197,64,-21.36,55.77,71.6,5.82
8,mweka,43,CD,1603573341,96,-4.85,21.57,70.59,0.67
9,vardo,100,NO,1603573214,78,70.37,31.11,39.11,24.56
10,grass valley,1,US,1603573341,22,39.22,-121.06,73.0,7.74
11,panama city,75,PA,1603573334,78,8.99,-79.52,82.4,6.93
13,ushuaia,75,AR,1603573136,70,-54.8,-68.3,50.0,8.05
14,belaya gora,100,RU,1603573236,94,68.53,146.42,15.91,5.46
15,punta arenas,90,CL,1603573209,93,-53.15,-70.92,42.8,13.87
16,jamestown,90,US,1603573341,75,42.1,-79.24,44.01,8.05
17,kutoarjo,100,ID,1603573342,87,-7.72,109.91,63.0,4.47
18,mataura,93,NZ,1603573342,58,-46.19,168.86,71.01,15.99
19,puerto carreno,59,CO,1603573342,72,6.19,-67.49,82.94,4.0
20,luderitz,7,NA,1603573342,78,-26.65,15.16,60.21,16.64
21,ahipara,14,NZ,1603573342,74,-35.17,173.17,65.62,5.14
22,castro,65,BR,1603573158,85,-24.79,-50.01,67.93,4.52
24,kapaa,20,US,1603573342,69,22.08,-159.32,82.99,9.17
25,yellowknife,40,CA,1603573160,58,62.46,-114.35,26.6,10.29
26,tuktoyaktuk,75,CA,1603573197,100,69.45,-133.04,15.8,4.7
27,hithadhoo,27,MV,1603573342,75,-0.6,73.08,83.28,11.25
28,port hardy,20,CA,1603573343,48,50.7,-127.42,44.6,14.99
29,show low,1,US,1603573343,26,34.25,-110.03,69.8,20.8
30,mar del plata,90,AR,1603573343,93,-38.0,-57.56,60.8,8.05
31,guanambi,100,BR,1603573253,54,-14.22,-42.78,80.6,4.47
32,hobart,75,AU,1603573232,65,-42.88,147.33,45.0,12.75
34,east london,1,ZA,1603573343,83,-33.02,27.91,69.82,0.98
36,barrow,90,US,1603573198,86,71.29,-156.79,30.2,11.41
37,mahebourg,75,MU,1603573343,78,-20.41,57.7,73.4,11.41
38,bengkulu,100,ID,1603573343,85,-3.8,102.27,76.28,4.34
39,victoria,98,HK,1603573204,71,22.29,114.16,75.0,20.02
40,albany,45,US,1603573227,71,42.6,-73.97,53.01,4.0
41,huarmey,80,PE,1603573344,75,-10.07,-78.15,67.35,9.06
43,arraial do cabo,90,BR,1603573205,94,-22.97,-42.03,71.6,14.99
44,north las vegas,1,US,1603573065,22,36.2,-115.12,79.0,6.93
45,sobolevo,92,RU,1603573344,96,54.43,31.9,44.67,6.53
46,ribeira grande,40,PT,1603573344,93,38.52,-28.7,66.2,17.22
47,geraldton,0,AU,1603573263,87,-28.77,114.6,53.6,4.7
48,severo-kurilsk,100,RU,1603573344,91,50.68,156.12,46.94,29.19
49,vaini,75,TO,1603573344,88,-21.2,-175.2,73.4,10.29
50,provideniya,76,RU,1603573344,89,64.38,-173.3,33.82,15.21
51,anloga,20,GH,1603573186,88,5.79,0.9,80.6,10.29
53,kindu,100,CD,1603573345,95,-2.95,25.95,71.82,2.24
54,gizo,0,SB,1603573345,75,-8.1,156.84,82.78,7.67
55,codrington,51,AU,1603573279,69,-38.27,141.97,47.16,16.62
56,souillac,75,MU,1603573345,78,-20.52,57.52,73.4,11.41
57,nikolskoye,0,RU,1603573345,90,59.7,30.79,39.0,2.24
58,sovetskiy,99,RU,1603573345,96,61.36,63.58,24.26,9.73
59,jumla,0,NP,1603573269,53,29.27,82.18,43.2,5.61
60,bredasdorp,0,ZA,1603573276,87,-34.53,20.04,60.8,3.36
61,kang,0,BW,1603573345,20,-23.68,22.79,82.33,4.76
62,new norfolk,2,AU,1603573345,65,-42.78,147.06,45.0,1.99
63,parksville,0,CA,1603573346,58,49.32,-124.32,46.99,7.29
64,kavieng,90,PG,1603573346,69,-2.57,150.8,83.12,2.91
65,hilo,90,US,1603573346,74,19.73,-155.09,80.6,9.17
66,port elizabeth,19,ZA,1603573346,83,-33.92,25.57,64.0,1.01
67,langres,0,FR,1603573346,100,47.83,5.33,55.0,5.82
69,nantong,1,CN,1603573346,99,32.03,120.87,57.0,5.21
70,parrita,40,CR,1603573346,94,9.52,-84.32,75.2,3.36
71,saint george,1,US,1603573185,28,37.1,-113.58,79.0,6.4
72,qaanaaq,100,GL,1603573346,92,77.48,-69.36,17.22,12.62
74,lagoa,89,PT,1603573347,81,39.05,-27.98,66.11,19.01
75,lebu,43,CL,1603573347,69,-37.62,-73.65,54.66,8.12
76,mount gambier,40,AU,1603573347,65,-37.83,140.77,46.4,17.22
77,toamasina,40,MG,1603573347,94,-18.17,49.38,69.8,4.63
78,aklavik,75,CA,1603573347,85,68.22,-135.01,15.8,2.24
79,vila velha,75,BR,1603573330,100,-20.33,-40.29,72.0,9.17
80,pontalina,82,BR,1603573347,75,-17.52,-49.45,76.48,6.91
81,asosa,2,ET,1603573328,92,10.07,34.53,62.87,4.76
82,avarua,37,CK,1603573347,73,-21.21,-159.78,75.2,14.99
83,seoul,1,KR,1603573325,100,37.57,126.98,39.2,1.25
84,stokmarknes,32,NO,1603573347,86,68.56,14.91,37.0,3.0
86,chauk,94,MM,1603573348,91,20.88,94.82,75.63,5.08
87,aswan,0,EG,1603573348,30,24.09,32.91,76.6,15.82
88,hasaki,20,JP,1603573348,100,35.73,140.83,42.8,2.24
89,iberia,75,US,1603573348,73,29.95,-91.75,73.4,12.75
90,narsaq,7,GL,1603573348,68,60.92,-46.05,30.2,4.7
91,fortuna,90,US,1603573082,71,40.6,-124.16,60.01,13.87
92,clyde river,90,CA,1603573303,78,70.47,-68.59,17.6,9.17
93,jibuti,1,DJ,1603573328,78,11.5,42.5,82.4,15.64
94,celestun,58,MX,1603573348,76,20.87,-90.4,83.23,15.46
96,northam,100,GB,1603573349,82,51.03,-4.22,51.01,15.99
97,yangambi,65,CD,1603573349,95,0.81,24.43,71.69,1.66
98,dikson,11,RU,1603573349,94,73.51,80.55,22.87,6.17
99,nuuk,5,GL,1603573349,79,64.18,-51.72,26.6,4.7
100,hamilton,75,US,1603573349,53,39.18,-84.53,52.0,8.05
101,arkhipo-osipovka,0,RU,1603573349,57,44.37,38.52,61.88,1.63
102,nanakuli,1,US,1603573349,70,21.39,-158.15,84.2,10.29
103,la ronge,90,CA,1603573350,53,55.1,-105.28,24.8,10.29
104,esperance,12,AU,1603573350,100,-33.87,121.9,50.0,12.75
105,beaverlodge,20,CA,1603573350,52,55.22,-119.44,19.4,10.29
106,nome,90,US,1603573350,95,64.5,-165.41,36.0,10.29
107,butaritari,18,KI,1603573350,66,3.07,172.79,82.06,7.07
